Model / framework;Version;Modeling language;last updated;Date;local (NUTS3)/pos;local (NUTS3)/used;regional (NUTS1-2)/pos;regional (NUTS1-2)/used;national/pos;national/used;international/pos;international/used;other spatial scope;very short/pos;very short/used;short/pos;short/used;intermediate/pos;intermediate/used;long/pos;long/used;other temporal scope;<hourly/pos;<hourly/used;hourly/pos;hourly/used;intermediate/pos.1;intermediate/used.1;annual/pos;annual/used;other temporal resolution;perfect foresight;rolling horizon / myopic foresight;decision-/agentbased;other decision making;no decision making;heat sector excluded;exo aggregated heat dem;end disaggregated heat dem;end disaggregated heat tech;other heat representation;transport sector excluded;exo aggregated transport dem;end disaggregated transport dem;end disaggregated transport tech;other transport representation;prob yes;prob no;explanation;social yes;social no;explanation.1;spinning reserve;balancing energy;sheddable loads;Feed-in management;redispatch;power factor correction;curtailment;black start;explanation.2;new features yes;new features no;If yes, which ones;user implementation yes;user implementation no;explanation.3;efficiency fixed value;efficiency function;efficiency other;explanation.4;ramping yes;ramping no;explanation.5;response time yes;response time no;explanation.6;recovery time yes;recovery time no;explanation.7;Year;no grid;transfer capacity;AC PF;DC PF;interconnectors;explanation.8;simplified;flow based;no import;other import;explanation.9;minimum load yes;minimum load no;explanation.10;discrete expansion yes;discrete expansion no;explanation.11;max def load fixed value;Time-dependent;Type-dependent;time- and type-dependent;no max def load;other max def load;shifting time yes;shifting time no;explanation.12;price elasticity yes;price elasticity no;explanation.13;fixed/static;dynamic;no storage;explanation.14;cycle aging;calendrical aging;no aging;explanation.15;self discharge yes;self discharge no;explanation.16;curtailed operation yes;curtailed operation no;explanation.17;hard coal/pos;hard coal/def;lignite/pos;lignite/def;oil/pos;oil/def;natural gas/pos;natural gas/def;CCGT/pos;CCGT/def;OCGT/pos;OCGT/def;CHP/pos;CHP/def;other conv;Bioenergy/pos;Bioenergy/def;geothermal/pos;geothermal/def;hydropower reservoir/pos;hydropower reservoir/def;concentrated solar power/pos;concentrated solar power/def;other dRES;photovoltaic/pos;photovoltaic/def;wind onshore/pos;wind onshore/def;Wind-offshore/pos;Wind-offshore/def;Run-of-river hydro/pos;Run-of-river hydro/def;wave power/pos;wave power/def;tidal power/pos;tidal power/def;other vRES;PEM-FC/pos;PEM-FC/def;SOFC/pos;SOFC/def;Nuclear/pos;Nuclear/def;other supply;Comments;households/pos;households/def;industrial load/pos;industrial load/def;service sector/pos;service sector/def;other load;P2Gas/pos;P2Gas/def;P2H2/pos;P2H2/def;HP/pos;HP/def;EV/pos;EV/def;other SC load;comments;PHS/pos;PHS/def;Batteries/pos;Batteries/def;CAES/pos;CAES/def;Caps/pos;Caps/def;Flywheels/pos;Flywheels/def;other storage;Fuels (H2)/pos;Fuels (H2)/def;Heat storage/pos;Heat storage/def;V2Grid/pos;V2Grid/def;other SC storage;comments.1;Distribution Grid/pos;Distribution Grid/def;Transmission Grid/pos;Transmission Grid/def;Smart Grid/pos;Smart Grid/def;Microgrid/pos;Microgrid/def;other grid operation;interconnectors/pos;interconnectors/def;network extension/pos;network extension/def;switches/pos;switches/def;other grid topology;comments.2;Additional comments;model;framework;comment
PyPSA;0.17.0 / 0.1.0 / master;Python;01. Apr 20;07.04.2020;1;1;1;1;1;1;1;1;;;;;;1;;1;1;;1;;1;1;1;1;1;;;1;1;;;;;1;1;1;;;1;;1;;;1;;;1;;;;;1;1;;;;"These constraints can be added as ""extra functionality""";1;;https://github.com/PyPSA/pypsa-eur/issues, https://github.com/PyPSA/pypsa/issues, https://github.com/PyPSA/pypsa-eur-sec/issues;1;;The code can be easily reprogrammed in its entirety.;1;1;;;1;;Generator ramping constraints are possible, but we usually do not enforce these.;;1;;1;;Minimum up time and down time possible, but usually not used.;2017;;1;1;1;1;DC and NTC in optimisation, AC for simulation only;;1;;;No import from outside Europe, e.g. MENA.;1;;Can be enforced with PyPSA, but we usually don't do it in the models.;;1;Most renewable generators are small. Discrete expansion planning would be more important for large power plants. Can be implemented with extra functionality.;;1;;;;We can implement this using a storage unit with predefined p/e_max/min_pu time series.;;1;See above.;1;;The storage representing DSM can bid at certain prices.;1;1;;;;;1;;1;;;1;;Generators can be curtailed to avoid grid overloading, but not for grid ancillary service specifically.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;;1;1;1;;;1;1;1;1;1;1;1;1;1;;1;;;1;1;1;;1;1;;The PyPSA components are held very general.;1;;1;;1;;;1;1;1;1;1;1;1;1;;;1;1;1;1;1;;1;;1;;;1;1;1;1;1;1;;;1;;1;1;1;;1;;;1;1;1;1;;;;;;1;;
region4FLEX;under development;Python;under development;13.04.2020;1;1;;;1;1;;;;;;;;;;1;1;;1;1;;;;;;;;1;1;;;;;1;1;;endogenous disaggregated choices regarding demand (for temporal load shifting);;1;1;;endogenous disaggregated choices regarding demand (for temporal load shifting);;1;;1;;In parts, e.g. via load shifting times depending on user preferences or realization factors for calculating socio-technic load shifting potential ;;1;1;1;1;;1;;;1;;model is under development, will be published in 2020;1;;model is open source;1;;;;;1;;1;;time frame of management for load shifting;1;;time frame of management for load shifting;2020;;1;;1;1;based on the open_eGo model;1;;;;;1;;;1;;;;;;1;;;1;;;;1;;;1;;;;;1;;1;;;;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;;;1;1;;;;1;1;1;1;1;1;1;1;;;;;;;;;;1;1;;;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;;;1;1;1;1;;;;;;;;1;1;1;1;1;1;;;;;1;1;;;;;;1;1;1;1;;;;;;1;;
RTestPSM;1;Python;Apr 20;15.04.2020;1;;1;;1;1;1;;;;;;;;;1;1;;;;1;1;;;;;;1;;;;;1;;;;;1;;;;;1;;The model runs on data that is viewed deterministically, but is designed to be easy to use in probabilistic analysis. This applies particularly to the time series the model is run on.;;1;;;;;;;;;;;;1;;1;;The model is well documented and easily customisable. It is built in the Calliope framework (https://www.callio.pe/), so can be changed there.;1;;;;1;;This can be turned on and off.;;1;;;1;;2019;;1;;1;;;;;1;;;;1;;1;;This can be turned on and off.;1;;;;;;;1;;;1;;;;1;;;;1;;;1;;;1;;1;;1;;1;;1;;1;;1;;1;;;1;;1;;1;;1;;1;;;1;;1;;;;;;;;;;;;;1;;;"This model used generic technology classes (baseload, peaking, and wind). These can be taken and modified to represent ""real"" technologies.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;"The model described here isn't a ""real"" power system model in terms of describing a realistic system. It is designed to be a simple ""toy"" model that is, above all, easy to use. The idea is that it can serve as a simple ""benchmark"" model to test timeseries and optimisation methodologies on. In many fields, standard benchmarks exist; notable examples are MNIST or CIFAR in Computer Vision and the Lorenz 63 system in Dynamical Systems. In contrast, test models used in power system research tend to differ per investigation, with each paper using a different (often not open-source) model. The closest thing in power system applications are the various IEEE n-bus test systems, but the code, technology characteristics and time series data are usually not standardised or provided open-source.";1;;
TIMES;;GAMS;;15.04.2020;1;1;1;1;1;1;1;1;;;;;;1;;1;1;;;;1;;1;1;1;1;Flexible temporal hierarchy ;1;1;;yearly;;1;1;1;1;;1;1;1;1;;1;;;1;;e.g. budget restriction;;1;1;1;;1;1;;;1;;in coordination with the ETSAP group;1;;by so-called user constraints;1;;by a step-wise approach;;;1;;1;;;1;;;2014;;1;1;1;1;;;1;;by a step-wise cost-potential curve;;1;;;1;;;;;;1;;;1;;;1;;;;1;;;1;1;;;;1;;1;;;1;;1;;1;;1;;1;;1;;1;;GT, ;1;;1;;1;;1;;;1;;1;;1;;1;;1;;1;;;1;;1;;1;;;Very flexible: it is just a process with inputs and outputs as part of a network;1;;1;;1;;Transport;1;;1;;1;;1;;"Power-to-Fuels; CHP; Bioenergy; ";;1;;1;;1;;1;;1;;1;1;;1;;1;;1;Very flexible: it is just a three step approach: in-flow -> storage -> out-flow;1;;1;;1;;1;;;1;;1;;1;;;Very flexible: it's just a process with inputs and outputs as part of a network;;;1;
TransiEnt;01.02.2000;Modelica;13.05.2019;20.04.2020;1;1;1;1;1;1;1;;It is also possible just to model a household or a district since we can build up models by components.;1;;1;1;1;1;1;1;;1;1;1;1;1;;1;;;;;1;;;;1;;;It is also possible to model the heat demand physically-based.;1;;;;;;1;;;1;;1;1;1;1;;1;1;;;1;;In the next release, probably June 2020, new models will be added to enable the investigation of voltage stability. Other further developments will also be added to the library at that point but not in terms of flexibility;1;;;1;1;physical behavior;Depending on the model, different implementations can be chosen.;1;;;1;;;1;;;2014-2019;;;1;;;;;;1;;;1;;;1;;This can be done manually.;;;;;1;;;1;;;1;;;1;;;;;1;;1;;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Garbage;1;1;1;;1;1;1;;;1;1;1;1;1;1;1;1;1;;1;;;1;1;1;1;1;1;;;1;;1;;1;;;1;1;1;1;1;1;1;;;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;;;;1;1;1;1;1;1;1;;;1;1;1;1;1;1;;;;1;;
Frigg;;Python;;24.04.2020;1;;1;1;1;1;1;1;;1;;1;;1;1;1;;;1;1;1;1;1;;1;;;1;1;;;;;;1;1;;;;1;;;;1;;;1;;;;;;;;;;Represented via model coupling (soft linking) with power system models (Neplan);1;;during the next 365 days. Implementation of demand response in all the sectors based on model coupling and non-linear and dynamic representation of demand response;;;;1;;;;1;1;Depending whether capacity extension (No) is run or operational optimization – unit commitment (yes);1;;Depending whether capacity extension (No) is run or operational optimization – unit commitment (yes);1;;yes, primarily on the end user side;Late 2019;;1;1;;1;AC power flow represented in a power system model that is soft-linked with the energy planning model;1;;;;;1;1;Yes when running unit commitment mode, No when running capacity extension problem.;;1;only continuous power plant capacity extension;;;;1;;;1;;I don’t know what is meant by this. -> geklärt in Mail;1;;yes but not from a classical economic theory when price elasticity is assumed to be linear. Price responses here are captured in a complex, non-linear way.;1;;;;;1;;;1;;;1;;;1;;1;;1;;1;;1;;1;;1;;;1;;1;;1;;1;;;1;;1;;1;;1;;1;;1;;;1;;1;;1;;1;;1;1;1;;1;;;1;1;1;1;1;1;1;1;;;1;;1;1;1;;1;;;;;1;;1;1;1;1;;;;;1;;;;;;;;;1;;;;;;;;;
GridCal;03. Jul;Python;9 of March of 2020;24 of April 2020;1;1;1;;1;;1;;Any spatial Scope, RAM and CPU are the limits;;;1;;1;;1;1;;1;;1;1;1;;1;;Any temporal scale, although the static simulations are meaningful in the minutes to-hours scale. GridCal does not impose any static sampling rate, instead you can specify a non-homogeneous time sampling.;1;1;;You can decide to have a “time-decoupled” simplex of a time-coupled (perfect foresight) one;;1;;;;;1;;;;;1;;The input time series are considered as a representative sample. Then those re converted to probability distributions and then re-sampled into stochastic procedures, Namely Monte Carlo and Latin-hypercube power flows.;;1;;;;1;;;;1;;;1;;"- full blown AC/DC simulation - Implementation of HELM-Padè-Weirstrass power flow - Harmonics calculation - More devices; The branch generic device disappears to implement line, transformer, and any other branch as a separated entity. - Better OPF: Add r";1;;Contact me to get hands on explanations, and start programming. Strict efficiency and style rules apply. Several people have contributed already and are contributing at the monet.;;;Not implemented;;;;Not implemented;;;Not implemented;;;Not implemented;Not yet, will be eventually.;;;1;1;;;;1;;Power Injection;You definitely can by placing a generator or load that acts as the injection in the grid.;;1;;;1;;;;;;1;;;1;;;1;;1;;;;;;1;;;1;;;1;;1;;1;;1;;1;;1;;1;;1;;;1;;1;;1;;1;;;1;;1;;1;;1;;1;;1;;;1;;1;;1;;;;1;;1;;1;;;;;;;1;;1;;;;1;;1;;1;;1;;1;;;;;;;;;;;1;1;1;1;1;;;;;;;;;1;;;;;1;;
xeona;9270 (subversion revision number);UML, C++;circa 2014;28.04.2020;;;;;1;;1;;the framework was designed to be generic and applicable to small and large systems / moreover most problems have natural boundaries that should be respected;;;;;;;1;;normally a year of operation, either today or some future system, was envisaged;1;;1;;;;;;the time step was a model parameter but either 5 minutes or 60 minutes was envisaged: the basic assumption to be fulfilled is that the system “relaxes” rapidly after each step (otherwise a continuous model is required, one based on ordinary differential equations);;;1;market clearing: US-style nodal pricing (aka locational marginal pricing) is supported;;;;1;;contained a square box building thermal performance module and a HVAC (heating, ventilation, and air conditioning) module;1;;;;;1;;probabalistic in that module designers could add stochastic processes sampling from various distributions / the user could also opt for runtime seeding (for monte-carlo analysis, for example) or select a hardcoded value (to ensure run-to-run consistency);1;;the actors are potentially sophisticated and building occupants are supported;;;;1;1;;;;I ticked redispatch but nodal pricing removes the need for explicit congestion-related redispatch;;1;;1;;clear object-oriented design was a criteria from the outset / this allows uses to program new modules by coding only the difference between itself and its parent or parents / in addition, C++ language type safety and template meta-programming meant users could not construct illogical models;1;1;;both duty and ambient temperature / capacity was also a function of context, most notably ambient environmental conditions / this is highly significant for gas turbines which can potentially drop capacity by 20% in hot conditions;1;;minimum duty was also implemented (see later);;1;would not be difficult to implement but delayed responses could well lead to infeasible operation as the model heads unwittingly into dead end states;;1;same explanation as above;circa 2012 (I guess you mean the year they were supported in the codebase?);;;1;1;1;the AC load flow follows standard nodal pricing methods;1;;;;I guess you are referring to trade external to the model? / the system boundary is up to the modeler but import sources and export sinks were supported / these are deemed reservoirs whose intensive state (price, for instance) remains independent of extraction or supply.  Is that what you mean by import and export?;1;;together with both no-load and parasitic losses;1;;just via scenario definitions, by not via endogenous choice;;;;1;;actors could be either hardware (control algorithms) or human (based on some behavioral representation) and both could potentially learn / indeed some bidding behavior was subject to simple non-reinforcing learning;1;;see earlier response;1;;bilateral contracts, in several forms, are supported, including decreasing price with demand and also take-or-pay (I think this is not common but certainly not unique);;1;; most notably, hydro chains (multiple hydroelectricity generators on the same river);;;;both mechanisms would be straightforward to implement;1;;primarily hydro reservoir evaporation and seepage;;1;in theory, it would be possible to implement the security-constraints normally embedded in nodal pricing, but this might not add much / curtailment due to non-dispatch is implicit in nodal pricing (or have I missed the point of this question?);1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;;1;1;1;;1;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;again deeco had fuel cell modules so not difficult to reimplement in xeona. also important is that xeona implemented supercritical CO2 transport and sequestration and also thermal powerplants with carbon capture;;1;1;1;1;;;;;;;;;;;;the power-to-gas modules were never implemented, mainly because those technologies did not get much air play at the time of development / it would be straightforward to implement electrolysis: the principle issue remains of devising and implementing the operational strategies.  (perfect foresight optimization assumes that problem away but it remains in practice nonetheless!).;;1;;1;1;1;;1;;1;;;1;1;1;;;;;deeco contained seasonal heat storage and the design of xeona was formulated explicitly to allow those characterizations to be carried across;1;;1;1;1;;1;;;1;1;1;1;1;;transformers were modeled using iron and copper losses / not sure what you mean by switches?  switching out lines to improve load flow? that would require (total or selected) enumeration to explore surely?;;;;;
FlexiGIS;1.0.0;GIS-based;13.12.2019;07.05.2020;1;;;;;;;;urban/distribution level;;;;;;;1;1;;1;;1;1;;;;;;;;;;1;1;;;;heat to be included later;1;;;;transport to be included later;;1;;;1;;;;;;;;;;n.a.;1;;sector coupling, socio-economic, e-mobility, CHP and urban policy perspectives;1;;;1;1;;;;1;;;1;;;1;;;1;;;;;;1;;;;;1;;;;1;;;1;;1;;;;1;could be applied later;1;;online electricity prices;1;1;;;;;1;;1;;;;1;;;;;;;;;;;;;;;;;1;1;;;1;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;;;;1;;1;;;;;;;;;;;;1;;
urbs;1.0.1;Python;04.05.2020;06.05.2020;1;1;1;1;1;1;1;1;cities, small villages, single buildings;;;1;;1;;1;1;;1;;1;1;1;;1;;;1;;;;;;;1;1;;;1;;;;;1;;;1;;;;;;;;1;;;1;;Near-optimal optimization, decomposition modules;1;;One can just clone our GitHub repository, and start working.;1;;;;1;;Different rates for ramping up and down can be defined.;;1;;;1;;2016;;1;;1;1;;1;;;;;1;;;1;;;1;;;;;;1;;;;1;;1;;;;;;1;;1;;;1;;;1;;1;;1;;1;;1;;1;;1;;any MIMO process;1;;1;;1;;1;;;1;;1;;1;;1;;1;;1;;;1;;1;;1;;;;1;;1;;1;;;1;;1;;1;;1;;urbs is a commodity-neutral framework. Any commodity can be defined.;;1;;1;;1;;1;;1;;;1;;1;;1;;;;1;;1;;1;;1;;;1;;;;;;;;;;1;
pandapower;2.2.2.;Python;;;1;1;1;1;1;1;1;1;;;;1;1;1;1;1;1;PF static ;1;1;1;1;1;1;1;;A non-homogeneous time sampling possible;;;;;1;1;;;;;1;;;;;;1;;;1;;;;;;;;;;no ancillary services are predefined, but they can all be comfortably modeled by the user through controllers ;1;;unbalanced power flow calculation (Fall 2020);1;;flexible controller interface allows to implement individual behavior. Changes on the core codebase are always possible on github as well;;;;;;1;;;1;;;1;;;;;1;1;;;;1;;1;Can be modeled through external grids or ward equivalents;;1;;;1;;;;;;1;;;1;;;1;;1;;;;;;1;;;1;;;1;;1;;1;;1;;1;;1;;1;;1;;1;1;;1;;1;;1;;;1;;1;;1;;1;;1;;1;;;1;;1;;1;;;;1;;1;;1;;;;;;;1;;1;;;;1;;1;;1;;1;;1;;;;;;;;;;;1;1;1;1;1;;1;;;1;;;;1;1;Transformer, Lines etc.;;;1;;
Balmorel;several;GAMS;;;1;;1;1;1;1;1;1;;;;1;;1;1;1;1;;1;;1;1;1;1;1;1;;1;1;;;;1;1;1;1;endogenous expansion of heat consumption;1;1;;1;end disaggregated transport dem marked with ? Please check with hans raven;1;;certain probabilistic elements included. Scenarios with probabilistic (monte carlo) input elements supported;1;;differences in actors' valuation of future cost/earnings may be in represented;;;;;;;;;frequency containment reserve, manual frequency restoration reserve are implemented in some versions;1;;ongoing projects will possibly extend representations in relation to i.a. taxes, hydro modeling, transport, P2X, security of supply;1;;Balmorel is open source, publicly available, coded in a modeling language, documented;1;1;1;by calendar, various possibilities and versions, i.a. timeseries for COP, unit commitment for storage units, bypass of extraction and backpressure CHP;1;;;;1;;;1;;2007 / 2020;;1;;1;1;various versions;1;1;;;representation of the grid as 2.6 above also covers import and export. Additional representations of import and export exist.;1;;depending on version;1;;;;1;1;1;;;1;;;1;;;1;1;;depending on version and storage type;;1;;;1;;;;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;possible;1;1;1;;1;1;1;;;;1;;1;;1;;1;;1;1;;what is here marked as possible, have been implemented in specific projects;1;;1;;1;;;;;1;;1;;1;;1;;1;;;1;1;;what is here marked as possible, have been implemented in specific projects;;;1;;1;1;;;;;;hydro reservoir;1;;;1;1;;gas;what is here marked as possible, have been implemented in specific projects;;1;;1;;;;;;;1;;1;;;;;;1;;
IRENA FlexTool;v 2.0;GLPK;06.03.2020;03.08.2020;1;;1;;1;1;1;;;;;1;;1;1;1;1;;;;1;1;;;;;;1;;;;;;1;;1;;;1;;1;;;1;;;1;;1;1;1;1;;;1;;;;;;;;;1;;;;1;;;;1;;1;;;;;1;;;;transport problem;1;;;;through input data;1;;;;1;;1;;;;;implemented as extra unit with capacity as input;;1;;;1;;1;;;;;;1;;;1;;;1;;1;1;1;;1;1;1;1;1;;1;;1;1;;1;;1;1;1;1;1;1;;1;1;1;1;1;;1;1;1;;1;;;1;;1;;1;;;;1;;1;;1;;;1;;1;;1;1;1;1;;demand as input series;1;;1;1;1;;1;;1;;;1;;1;1;1;1;;;;;1;;1;;;;;1;;1;1;;;;;;1;;
OSeMOSYS;OSeMOSYS_2017_11_08_short;GLPK, Python;;04.09.2020;1;;1;1;1;1;1;1;1;;;;;;;1;1;;1;;1;;1;1;1;1;the duration of the timeslices can be freely defined by the user;1;;;;;;1;1;1;;;1;1;1;;1;;This extension aims to assess the amount of unsupplied energy and its costs, in case disturbances to the energy system occur.;;1;;;;1;1;;;1;;sheddable loads: Block of equations allowing the cost-optimal amount of load shedding and its overall cost to be computed, for certain flexible demand types defined by the user.;;;;1;;The code is open source and can be extended or altered to implement new features if code complies with the requirements of linear optimisation;1;1;;Both possible. by a function: Costs related to the flexible operation of power plants, specifically: increased specific fuel consumption at lower load, wear and tear costs associated to the number of ramp-up and ramp-down cycles and costs for refurbishing existing units.;1;;Equations that model the ramping constraints of conventional generators. With large penetrations of variable renewables, the ramping demand in the system is significantly increased. The ability to constrain the ramping capabilities of generators in the system allows for a more accurate representation of the system dynamics and associated costs.;;1;;;1;;2014;;1;;;1;;1;1;;;;1;;;1;;;;1;1;1;;;;1;;;1;;1;1;;both possible;;;1;Can be implemented by the user if code complies with the requirements of linear optimisation;;1;;1;;;1;;1;;1;;1;;1;;1;;1;;possible;1;;1;;1;;1;;possible;1;;1;;1;;1;;1;;1;;possible;1;;1;;1;;possible;;1;;1;;1;;possible;1;;1;;1;;1;;possible;;1;;1;;1;;1;;1;;cascaded water;1;;1;;1;;possible;;1;;1;;1;;1;;possible;1;;1;;1;;possible;;;;1;
